table_name,rls_enabled,force_rsl
public.activity_logs,true,false
public.advance_payments,true,false
public.attendance_list,true,false
public.client_list,true,false
public.client_loans,true,false
public.client_payments,true,false
public.direct_sale_items,true,false
public.direct_sales,true,false
public.expense_list,true,false
public.inventory_list,true,false
public.job_id_counter,true,false
public.lender_list,true,false
public.loan_payments,true,false
public.location_bins,true,false
public.location_boxes,true,false
public.location_racks,true,false
public.location_zones,true,false
public.locations,true,false
public.login_throttle,true,false
public.mechanic_commission_history,true,false
public.mechanic_list,true,false
public.mechanic_salary_history,true,false
public.message_list,true,false
public.payment_reminders,true,false
public.product_list,true,false
public.product_locations,true,false
public.profiles,true,false
public.purchase_order_items,true,false
public.purchase_orders,true,false
public.push_subscriptions,true,false
public.service_list,true,false
public.spare_supplier,true,false
public.suppliers,true,false
public.system_info,true,false
public.transaction_images,true,false
public.transaction_list,true,false
public.transaction_products,true,false
public.transaction_services,true,false
public.users,true,false
public.wp_template_history,true,false
